,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-08-01,81.8998074827394,80.21132213441763,76.3053244256073,73.38655448752189,72.24470959209489,68.93010943259029,69.5727306694714,70.80629340197481,88.58572420230121,86.07221592693712,82.91520678497024,83.19596774370557,73.37470466115722,78.40357884535696,83.47666188753759,86.67495217981993,85.89921186859019,87.13112285689317,91.41069790889091,95.62445288253774,96.2560137380201,95.56405541116861,88.1581776932523,82.88189054509907
2023-08-02,86.59642603175025,82.02579228118358,75.03159626791536,73.67956562065689,70.95337936306446,70.01335637807598,67.49710757100277,68.35227909220157,88.43476281461075,85.14112003175707,80.53884509496224,83.34086090262902,69.89763779317761,77.31925986305282,89.5629351795185,91.67435573850351,94.42653664599084,93.99075085670933,95.89945820412794,98.15241460440271,98.21709982421478,96.43612949988682,92.10685682992255,86.81858283961515
2023-08-03,88.20273428780504,83.04333174110756,77.67849729622017,75.97063783821024,79.25326708866736,70.86453623916724,71.00836610935394,72.98850043135634,97.29006847665137,97.48917805569701,94.60373623169177,89.70526557365838,79.09012830614525,84.87060778406166,89.61359335377654,89.32175801249018,90.55480314651496,91.88918171434518,94.28093950241973,95.74472466350615,96.6786860340065,96.91429809502036,86.114970867316,82.87781620161779
2023-08-04,87.1446983537426,77.99344501876293,72.64754342190871,72.14452796878862,73.10329632790294,72.87302758675801,72.954179221467,74.47833847371058,94.20767560998945,94.37525157386578,89.0817547343546,86.52746547521205,74.65672836257056,75.96147648476058,93.24803115386314,94.27934985407735,92.95393780478727,91.22253090533395,92.94987774861417,96.42713394612038,95.13739652182832,94.72111089587106,84.84120501452962,75.69761084129145
2023-08-05,85.13790595119738,77.59319893435931,74.80444842742286,70.26148502415806,69.03339135833666,65.10366435906353,66.66450351564002,64.42168518373036,92.91404448823265,94.56655511008192,85.40541872947132,83.34625638187705,72.83958533354834,73.57776689715203,81.79781869556416,82.24185543929326,80.00164564227012,77.96404712050767,90.46487165064207,95.25525680261993,94.51113578816589,89.19239901804006,81.20640446947621,77.81519180760802
2023-08-06,86.47998259813609,76.10852014942917,73.12352010459598,70.39541004095665,69.14318293288036,70.47478956700532,71.53794793912618,62.810907668384786,71.46442668041661,58.79581025470874,52.18512577704847,46.07911607584438,45.44626300843424,51.6050469415099,56.590808183461526,58.01239758645608,60.418028111047995,71.54860844032117,87.4004671675358,97.45902575505836,97.62815313436303,98.03806593970556,84.03843788287116,81.493097272688
2023-08-07,87.22618513775467,82.31286366515963,81.34706281495257,80.44922458082996,77.41370558856487,74.42870720068201,76.45572775985326,71.26808050607931,84.98465225462205,86.11801257775049,81.58702060937473,86.16296594352016,70.04056804643368,76.61857429727722,82.02573099827372,85.94638904933386,84.75104680172275,85.3059562802937,91.5671570782075,97.3776795298636,98.93680468613532,97.02719726290368,91.92101844000338,85.13720866573766
2023-08-08,91.82858788529063,83.48690312529634,75.79423787110392,74.60604655455582,71.27532842538643,67.64779059649126,67.53390984985073,69.02369135142447,88.36253806702933,89.60559834114558,84.0277597831886,86.2217922156498,75.50720965146627,78.14742489476605,90.49262873622621,90.73525248472687,91.4204404958624,92.52387693376092,93.01393311510623,94.5997433364449,95.19158223199219,93.85169435386226,82.17679323066187,81.62321799498827
2023-08-09,79.07924588234675,79.46997716697634,79.65999323848587,77.85563825305735,76.1412465554682,67.8831259125158,68.35160629494708,68.07338671411102,84.74648730393281,84.48030567617629,84.49823298352686,86.72467456947955,77.85503053611579,85.38686683486686,90.85138572714892,92.44819554391879,92.05784924792017,91.40810365167133,90.24777684814858,90.88167417852843,91.01151888604895,91.66815594654855,85.27973888389987,84.83158274823293
2023-08-10,82.06728293409847,77.99497129982153,74.108836622732,74.84928935217262,73.15602067815361,69.9779582659319,68.23893646366678,69.98602350016365,88.46437907303174,84.21496120698944,83.14618723167288,82.79286379695954,74.19397218105122,80.52441020101105,86.49898983034893,85.7977212059615,86.58172208914571,88.14682551860557,89.80769910804545,92.949590167902,95.65209694101922,94.48157699232557,91.91273584361248,85.65630866726437
2023-08-11,87.49961328328145,81.97388112934755,77.63525040113247,74.89977359418275,74.44238702314742,70.10180657028573,68.74429007997114,68.27912989679027,93.26313170871282,87.2443760168779,87.19167842109732,86.35703220119778,74.45675725652816,76.77362455643198,88.43575458358198,89.1743909539916,90.30360934129793,87.4314065322873,87.64223822941265,87.20191236362345,93.14311818634398,91.59481681818957,83.28220527352458,79.36402730793468
2023-08-12,80.67007411532292,75.85972380612068,73.21347967966625,68.63464744334738,68.28204717300366,65.68063066066112,67.84307481922697,63.35051824358797,79.81877872471146,76.49841809148802,78.6718187055368,78.80992188175632,68.22391331770785,73.69264218100929,79.64827616172596,81.76666515561124,79.47907990234148,82.87486447311922,86.43341149190357,90.38337130374148,91.81921213710424,90.35492794022086,78.96453761211525,81.53469352491427
2023-08-13,79.51998512194798,78.13483546316714,77.5738121302395,75.81121679973374,74.73003215269837,72.3525248124009,71.41545588886387,62.206138284752306,64.71818885881196,54.907274861410755,59.16831112908268,59.63315432883634,56.64419224875599,64.95833353388429,63.54289515477781,63.59916054284268,68.99639350314729,72.98513055845284,70.44747457408268,81.24216893988364,85.86095092114547,84.05028591838733,76.21375583939374,75.85692922227808
2023-08-14,84.89034713407997,78.32518303780465,73.93584400504565,73.8606716585268,71.27395201811441,71.24614329188081,72.574452558775,70.59945104985329,88.09393832293384,88.34075184704582,87.05532587571058,91.01416803828398,84.08769452170493,89.99841080583356,91.7150048900743,87.25647964758164,87.11362441857888,85.57590254268176,88.66743437608568,89.46980946552509,96.48608737163018,97.14674507471881,84.74829089325742,87.49749310877817
2023-08-15,85.95645490840614,80.98805733994658,76.93893655694913,73.72152535474844,70.85448292373606,69.93381349013436,68.12298856913775,65.90531716615322,84.32694059305256,86.35703642601725,83.0961978510092,81.03046679178597,77.25378945214997,80.74186618788592,87.18814454395708,92.00007661466077,93.36530490828436,92.69499703493001,89.76601904498916,88.46171577807108,97.09527018868255,89.99179739634751,85.55606727238984,84.96934615598
2023-08-16,95.41248655446094,83.67283309643496,79.21239599105287,75.69968997310772,74.66762302941576,71.1820202408272,70.03321744343798,69.69442886219208,84.12393998328115,90.23215641642706,89.44764780590307,85.85942155046256,81.83934590298458,85.77417217878954,94.16649486585746,95.11751373145479,96.91636936315557,96.14852844403849,98.04890231530445,97.42907486583117,100.9239871266351,99.64163065312977,91.41184693168599,86.1012209817537
2023-08-17,93.50257001604682,84.98177538838243,79.70076894120845,72.99403603040257,72.78762054169864,71.78688197371619,70.13480090299252,71.29631340342598,93.3579735441348,92.79887883674677,92.41768300616027,96.88637637048105,93.88502399667449,92.9666513344525,92.14711060431924,92.56913949488755,90.03604065939265,95.30693171853815,95.84805980644344,95.41483520700392,95.86786113629735,97.68014961792693,91.3796587898699,89.26276018251372
2023-08-18,96.88173832033745,92.00526103575471,80.10655703213712,75.47145468466248,71.81609962339704,67.54613947192249,67.08228576613774,69.61948694716553,96.10752355234904,96.41964021596945,96.3641779151504,95.78887835976562,88.77361317573153,90.92440556110233,97.0725729020109,95.02773169321644,95.54112895881259,93.95916616524359,93.39377944444963,95.83532857750937,95.61189068020909,96.85494388557343,90.54043254988714,92.26042861747123
2023-08-19,91.26496365165018,82.04942791448775,78.93363603542915,78.11933134686359,76.61375409627328,74.40743691316527,70.60566668235532,68.91451983215272,83.1443210330263,93.79093810423169,86.15028672700952,81.44556806988551,72.52431888363984,75.67392229941113,82.90336801245297,85.11618255895843,85.54041582924826,85.33044997918563,86.06209810260914,92.37705988662596,92.51679121436729,95.38451901711234,84.83964618448051,82.06979635520257
2023-08-20,91.59633253958326,87.07536217372989,80.652108466777,74.32547239591462,73.77811165102791,73.69491871249205,74.18978882950417,63.41997746448111,79.10337602903006,73.05037715986506,65.39362665716985,66.99912652668472,60.80543512189146,66.65844294227641,72.16437025156048,73.31629227031927,78.79472772775352,86.57177001583428,92.4217313556052,94.62676511783572,96.37186643721869,95.92050022396246,87.54450388665823,82.70286332297488
2023-08-21,82.44258609173728,76.84203353496574,70.55519136080801,68.34261895088994,69.31834956902796,66.41068746286204,65.51279107336757,63.60207740894824,81.11517411695664,84.11580969555096,80.76151877680245,78.22172394036002,68.02975892788167,77.15990264150685,78.60969233966118,81.23737117936362,81.90433482042026,80.53739316513638,93.06233537940733,96.35249954008155,96.49512248990305,95.44846883478341,85.33048005578102,81.41895678299615
2023-08-22,90.7701827439722,84.4741958893442,75.18446275801,71.1249655704544,70.51441033571307,69.15218737098475,68.89410134877902,64.24184584644225,87.97488583541949,90.29713473130542,92.06872927488125,87.67639789178456,79.34378693879394,87.00070933987217,92.22128840787508,92.75529913726692,94.03689880136929,93.73829392355886,95.41612732528964,98.16612180286334,100.37728359486604,98.86396107755309,89.26950498795667,86.59762810294433
2023-08-23,90.41649571886067,86.06559872876926,78.537123104898,72.2293551295641,71.96729127836758,72.14064862900302,70.28292772313843,64.07321956664704,88.9647140372343,95.77640902394471,96.59638358784511,95.11571794288521,86.38723038447765,89.6821645646396,96.47344608835071,96.96472052557748,97.9616871686304,96.20152253203055,97.77223833205717,99.63733450942647,99.59812592442032,98.42004216728144,93.20335166380232,91.69942080988723
2023-08-24,87.41302632283471,84.81685312354182,78.40292132022698,75.92185590748718,72.68551899730646,72.50968769577867,67.83610593079416,66.65330001750316,86.05479487753222,94.04489167276026,93.80536715201775,93.2547121062204,83.84834218199096,86.50519766099296,87.93582092559423,94.09677662864097,95.07614292360486,97.4081708574867,97.05232665543298,99.49324698909199,99.63264553158452,96.77805460247008,94.90837624750377,89.93057617420496
2023-08-25,89.97618023001496,84.30120074342692,76.08771131430804,72.37912677470601,72.1250338411967,70.44275051601542,68.77611010503117,67.03758471669241,85.45994857689249,90.99844248852895,91.46911651183555,90.8127739528324,76.64985816756717,79.88477300389205,95.42807352068671,97.39401647527413,95.12908542284482,97.72418711716327,98.23520628663363,99.28661786932828,98.53574644334424,98.85492851457671,91.92736863661683,86.97924922468982
2023-08-26,96.91126828129293,87.02693225563306,80.01413627750017,74.9911815122762,73.61014286542267,74.35423744068463,70.90992430418035,65.06988834311056,86.20839600609219,91.83416785693102,89.6242687665395,93.39976254294677,71.2871712137433,76.17075500005703,91.85017985906734,92.14151187673203,92.6109440733111,97.485978285988,97.72433336797329,99.60950861384583,99.32173709879635,98.82121450501981,90.60765905821712,88.84654722268992
2023-08-27,92.34639910401313,80.40796320503519,73.46350572007978,70.12174513103815,71.15194909383429,71.14138287618034,71.94478154893251,60.60261693687133,70.65476120358383,70.43513677802216,68.28880480846212,64.95751668712099,57.80873587010282,64.11502861323673,70.26209149736692,68.17661573023072,66.9379579221636,79.6333317660873,94.76377364079,98.55523920759491,99.121152918328,97.98827864861441,84.47332974650597,80.23443273283881
2023-08-28,84.95715115701618,79.09123837331093,76.02140200424843,72.52914454042876,73.40357235179543,70.62954293344644,69.71441687154538,65.73893729437229,78.79622106802314,82.45725442199989,86.13957740006065,85.24651082565254,78.85541372403432,81.21296729226039,88.32985145190528,89.33388599582224,91.37148202136994,91.34494005683443,92.25659082249537,90.5226318845929,90.44037103140072,89.55096091632613,88.27550848716427,84.59627976341173
2023-08-29,90.46112435731604,80.81306252609014,75.48497742489654,73.46323331541886,71.79468038958193,72.21717206127215,70.34551336904194,68.17601473998653,83.04511383240609,93.22741307764427,99.54797352327134,99.68472451375702,86.08635132722198,93.73798278564605,100.37008404036904,99.81514705186875,99.7542873513802,99.34085005975751,100.68416767773485,99.88061178544775,99.74016154106577,99.29850719215996,99.13134135844065,94.43280819153959
2023-08-30,88.88652642148188,84.993074794618,77.72108958231416,73.09928370790894,74.3527378456279,74.92995595098886,74.31403870770336,71.48600430000067,89.32642763052516,98.7448307708516,98.40285057547663,98.85727795115304,83.22608275587277,87.65626716628574,99.70914084278265,99.84118243068198,100.29348869685234,100.26127862716784,99.0954188660353,99.08200668513304,99.38758034293969,99.58531798719287,97.47908848357946,96.05055046812681
2023-08-31,89.35734200850878,83.54442132250098,74.78994283311798,72.7867358211518,73.08250801033454,74.0331654018751,72.7889706070025,68.42041650360376,83.01752288268916,84.76817717770443,83.94956491199837,83.2364410560114,77.86996143035637,80.82555745274368,86.07803679844004,89.25851055629552,93.30329674897926,96.0058249788315,98.39890611649825,97.80590402846624,97.75783242169305,97.6056106891819,91.1549265079393,87.07893811925418
2023-09-01,90.59822919781413,84.92563360270577,78.81732841539767,76.183365825324,75.16482519996046,73.818614114708,73.71446624066147,72.34713509132166,90.6118473131985,92.76104914692476,92.46898892103366,90.2869079448652,82.54792235082425,88.44847667672217,93.56592688866424,95.97061054653538,96.97836322614687,99.58880739747563,96.81261022495329,98.78022940350007,101.5248808907387,100.56155931287306,95.56502319512072,88.35389044506559
