,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-08-01,83.37008097741843,80.49079567327165,74.78412740047331,74.42386838176431,73.62276605926449,67.72965849580221,71.16037819804971,71.32464328170292,94.1755573033246,89.76169963142398,86.80573083590563,85.72585154882019,70.70711373240998,80.38720107670908,89.27264867069985,88.88616608973629,90.44445235785523,89.52994863283391,92.3753886038465,98.81365786125174,98.16303931191317,97.60403722574114,94.98890471957127,89.68131991690653
2023-08-02,90.24491309266297,83.00716287749421,74.52503123684173,73.34975134011562,71.54968072966048,68.88466474883185,67.35659877560141,67.44858451627546,93.36509553448984,89.72996315672779,83.2047931860107,87.77564904616678,71.41517266326736,79.25847143223633,89.8921925243297,92.15646027973513,93.42691256964297,93.90323449766389,96.32832525231575,97.71207217784954,98.24347044231419,97.57862099562705,92.33596453253043,87.7189784958316
2023-08-03,91.94969772249424,87.51124019604693,81.74881759662819,74.78943786618031,78.7938200373306,72.51470387886631,72.81461424895294,72.52755608165579,97.88417862047713,97.77940038930845,97.35177535242534,88.21047957438041,81.60107783650464,84.60178245242565,89.78297563553632,90.46888994914556,90.86197313709117,90.04527171383866,91.22674929558245,96.02532083249712,94.55465645638257,95.9070895782397,90.6807583296769,87.95989010780404
2023-08-04,86.73446383573672,80.85181639077746,71.53077725162417,70.4459193424991,70.90756326762042,69.18931652078018,72.24181612628149,72.35581159115914,93.42368509166026,91.28621305262392,88.75496660318117,88.07968464636409,71.76719859928728,75.41533811051336,92.57594918147583,93.06644134777802,92.10520118176237,91.33264288868615,93.44212635111674,94.2278706805049,94.7537315595048,94.40162392360342,86.38306935172722,78.9528518864727
2023-08-05,85.1987845610477,79.90985984097256,73.448952160297,71.23204468399074,71.26436904044454,68.45964343277842,68.51628850572801,67.65719447405951,90.38315894183832,92.8433760124004,89.07471765507718,87.04415704700939,66.14154785301479,66.50647731885896,84.88074248915287,86.48260889880449,85.93912889806451,84.5490229542029,94.13624301289978,98.24925915014549,95.85941316388586,93.1382071301702,83.52710957338846,80.39708610928842
2023-08-06,92.85054317441956,82.24581386882504,78.09090392860206,73.18178035514217,71.17264444026756,68.96659216343022,68.49099938041056,58.43563714409943,79.09313520634242,66.97720968566888,61.20114331277828,61.560689760121434,50.46862216127196,53.96452931501016,62.532541600510314,62.71371475539665,62.768831250051285,78.66264273953286,91.97514389088977,97.86255029258096,101.34479788569355,101.88027299432504,95.78630934045822,89.42654722172992
2023-08-07,91.85157683896219,89.36581861181627,88.72831495465717,81.54170680324721,81.32580470102896,79.52854488516488,79.94222413617119,72.02468602035977,93.54721437045066,93.11332775762635,86.83401881948282,95.54619561768776,76.22955287246485,81.28759426536551,88.65318188194706,95.64644012104365,90.70661192385282,91.43641953807389,102.1541386331409,105.4669045171925,103.07257002812754,101.00223601977109,95.40067571326935,91.35527873009737
2023-08-08,93.31243899071725,85.0157719413388,77.52928105075185,76.98513255486355,76.44314856246521,73.53736637082469,72.81153504442335,73.42738903006578,92.16504419277327,92.02963847747101,88.412755891181,87.8423065196068,80.20233463039241,85.18407864109396,91.2384339405906,88.883178487557,88.7784863523113,92.72655202371561,92.81547904992337,92.52718961727105,91.25098040816796,91.20166531635348,84.46541102345245,84.71340016615925
2023-08-09,83.24494650146637,82.51088668564286,77.39634395510038,76.33716326359331,73.83673751363389,69.41990003260163,67.70438965804368,68.08124270245804,86.16581367179991,82.14391025639515,84.90480766303841,85.73023462451947,74.79048790854972,82.49065719157822,92.34346305185457,92.03077191762712,91.25673835401878,90.19130487008327,88.96070203770552,90.48735460290226,90.88152766249063,91.13894562638605,83.73375278039205,86.14007085459666
2023-08-10,88.97144826766768,79.36267642267487,73.44503980074185,73.08840195755884,72.04452832037056,71.35275492083333,69.90772113350874,68.06570389465799,92.59720844129305,93.71088352308577,87.02417484877937,87.19379329150914,72.57603203819697,78.64879155739546,92.8931133676208,91.52428759910822,93.40535355152454,96.491113183266,98.94511943750162,100.38371522488265,100.40454794080799,101.75567099197472,95.0676943190759,89.77418829350941
