,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-08-01,82.65074008276459,82.21745930429948,75.2748919296435,71.875098504413,70.80060751459372,68.44810233682752,70.73174140122478,68.05118071549255,92.70308204699118,89.03285551674702,85.82224591156013,83.81407845608109,74.16042777834832,76.6819836194836,85.8956174219044,87.98592369678755,88.09657837058064,87.00502027244809,94.23065059407747,97.8122639007769,96.27210021062471,95.98422172203438,89.65835228015179,86.00184240150556
2023-08-02,90.71636894846378,82.48431324713042,76.72644791095243,75.45254563674354,70.98990272459771,69.57435833607283,67.05035627329376,67.78206277498532,91.27576139160054,87.55430494037921,82.67445199544802,87.37571523786853,70.80215351350803,79.6517649279237,90.12479056395969,92.84489264136634,94.86181616271165,96.52675929409249,99.61294258198306,100.38125051698147,96.92295478447198,96.06032608040587,90.90261229555074,85.90095006736163
2023-08-03,91.03862340754739,85.09065895843304,81.79767293612869,74.32465350442506,77.62649489780905,70.91195390051209,69.77655868079319,73.80738078632167,98.79339194428637,97.19220099917402,94.5519422316016,91.26569683901988,79.02245625192215,82.26817076915073,91.76029766900822,92.36502246487898,91.52014398902409,91.77012466783744,93.07755322229328,96.00094917499023,96.7738996102015,96.31791671342637,91.63157950384814,87.19654048475806
2023-08-04,87.22759982925378,79.23116021331927,70.52359810094435,70.51251490204089,72.75525239874223,72.14815787214438,71.60470768529613,72.98414776600438,94.41564150117924,94.6951505143873,91.33531686403903,90.37165851127546,71.11126406092038,74.53096480877211,93.02747387224545,95.01746759741287,91.2661332389302,90.76657386046818,92.44424142858237,95.53678885353156,95.03608386538791,94.80258249335805,82.94400201528558,76.73511611682646
2023-08-05,84.50974557930354,76.8535470348827,73.02413013205644,70.28589383424348,69.41853369192319,67.46717855867205,68.19182619228988,66.7107999331634,92.00062029283325,92.29992780429939,88.19002256183902,87.35069802987205,68.78518939328544,70.68692116434656,89.0246355343977,88.70435279165272,87.55096547709836,85.2109340712553,90.27415836914324,98.11575031223404,96.15967933636661,91.30632583379331,82.39333163838552,82.44680430516458
2023-08-06,86.63412675017108,77.53225549879313,73.3924942375533,69.94560404040544,68.83857370962562,68.4790658515844,70.26515941526436,61.336744771884774,75.9964861407212,60.6219598029535,55.102638184452466,56.92860880064021,48.83607700389015,48.920366623227565,59.13369894967295,68.37587648315632,65.35619678150917,81.28426820274056,89.83698793152232,97.04502013631136,93.93860280263115,95.32546663324797,86.95412974124308,84.10256951391727
2023-08-07,90.71109838632995,87.18950042189044,87.05076984861347,77.42159123275364,76.0011511280862,75.36886381434257,75.30556059492804,68.85960691799541,88.74646511943921,89.01781986872027,83.15101718344066,91.5868974544162,71.78002521121432,78.64130145329402,86.54167365285342,93.05463166930986,87.93851500866023,87.21355313243707,92.00808984888808,97.0722043878307,97.60388164728366,97.18390148200025,92.52638867924219,88.53695273540906
2023-08-08,93.91657686234448,84.19930804717659,78.42789365642547,77.73379299443572,77.44413893013031,70.47915108006826,70.79093079689808,70.94635069998144,89.3752542013084,90.40521147556943,87.55658710854819,86.8575415977796,80.04518356428142,78.92893700054248,92.52176381227108,89.31775343395549,88.36078988568907,94.08464053838338,94.56714316336496,95.3966835309015,96.50786968756435,94.68465913109577,79.67964222925934,79.28240741598688
2023-08-09,81.83611891395728,82.13055228856928,76.34758747180922,74.79529144567519,74.34254335163021,69.27638457019427,68.87517330613001,68.27300957419992,86.27350285015183,84.04400583302053,83.62874169226525,83.377701201906,75.24292659373482,83.25295429570438,89.65321217672668,90.78343044281507,90.80141833596973,88.73357882482854,89.24690891662107,89.78405357042888,91.49301430529671,91.94774038123843,84.73647582024734,81.24928555410003
2023-08-10,88.24327257044894,82.14041385180326,77.25341331479659,75.65932063985282,74.13620585482772,73.82315122783933,73.29132474535119,70.6384840260872,94.73337614359852,91.2926163383154,87.40901286406663,87.3462594707725,75.10029249011781,81.77051169393876,92.36665267264095,89.29380680032519,88.78018348302727,91.68703031082481,91.25679372599065,91.47679166422971,94.10089953923192,95.11135871733465,94.01014921185592,86.90014961411997
2023-08-11,87.88355516490307,84.5475504012891,76.09195330661605,73.5021268537909,72.95624279728204,70.29045827118,67.75173463752816,67.65864538606911,93.62506036482303,91.14325646329368,88.87389227342672,87.01671387506737,74.56741195723056,79.64655896156479,88.40001029864337,90.05065245290646,93.87850227585267,89.53216903675899,91.90561287306834,89.53839003059073,91.71315808016197,93.2220870659192,84.28266844848183,81.1379059381631
2023-08-12,83.28791127233693,77.61924838193144,72.6983088788736,68.7413607932106,67.97896343052096,66.43324938513425,65.34254839494432,62.785689395040045,82.94616636474207,81.59938321337268,80.06223602607075,79.65434979094614,66.56769848963957,74.20043124836437,81.30628611142127,80.78699444009365,78.16076295757917,83.30972255700667,85.13831218495632,88.29143851058531,90.80216157678029,90.43085963047227,80.60922865531255,81.59720947978212
2023-08-13,82.25834203229492,80.57901928287795,79.64635769666766,76.67162390895909,73.44705298315692,70.65823668756587,68.39764013342176,60.21539147880705,65.34208534604336,57.4848024493838,59.16717399802766,59.11119970079021,54.426352087639884,60.26715551441346,59.893562871005265,62.00787029223807,63.95114248374135,71.15879332905108,77.56416377113626,85.26783093619257,87.50670613201882,85.85935750485754,74.56358447609436,75.526051583121
2023-08-14,87.2606224072919,79.98088563544474,73.9173907876885,74.2845011168611,72.69648089645291,72.95293951270298,71.44255319355281,68.53652769616114,94.50114930390113,97.5369221015277,97.1793856339665,97.11802842503855,85.30182631983341,94.66789053893105,97.58676110135916,91.86682535299929,92.75426850999064,91.81015829335155,92.74147935473276,91.74817872636811,96.53071086526796,97.26556399190612,94.21420638224299,89.80420135490944
2023-08-15,86.86464223466615,83.92986095237718,75.62213479746163,73.6465974587886,69.50600407159128,69.35625929476684,67.54203180110554,65.5494930712742,84.56179332584756,87.90046445843979,82.51291857325126,80.66548473406536,71.73854764728682,77.62499814874218,86.93642971222481,90.16933851274328,89.98266811265303,88.41347107629264,89.74966066797963,87.65179596177731,93.9940171357918,88.78334791991739,87.11134821529411,85.85874839769781
2023-08-16,95.30159754290293,90.15740508119003,82.06184257410159,76.67284599076868,75.22192547477201,71.4112882337413,69.8829856986042,70.33199650400499,91.58566794732108,93.21820237455445,93.44100526137382,93.60783455970736,82.8850134508625,92.88668321375226,96.24727181111848,95.70510671992936,95.17103050249875,95.09893050812384,95.38614623943526,97.46823633152115,99.76454538585884,97.72683469629509,91.36917080827776,89.39649142850007
2023-08-17,93.28369093150631,89.41100207560329,79.97409398450833,74.45836427760187,72.42502121238232,72.26031941211244,71.08907545225625,73.3762735007373,93.46813972018332,93.74747179929015,93.02171480781008,94.5035610110642,88.62952059062283,91.86911327436808,92.32336063051308,92.68396720112048,92.70061625922641,94.47643950499541,92.91491078480648,96.33845337666827,97.98398653477615,97.37643431276649,93.892590716651,92.46204679873944
2023-08-18,97.52559236432059,95.97089872124617,81.10941778583656,77.92607599739209,74.89636992510191,71.19401857307656,69.04484272741732,70.68021844515253,96.28594225318066,96.07969325170444,96.38603274126982,96.29287114030245,92.70172440529606,97.34518756337812,97.41743730483526,93.58306617332241,96.41716065249103,95.96651937211064,95.85197168707387,97.44261488635935,97.50458463430557,97.67316737554425,94.17022032529395,95.507196449055
2023-08-19,92.36784726954436,89.54729053110533,79.1061827783424,81.37758825636071,75.92804188289236,72.5689790990351,71.00616146659075,67.86820055106756,90.4020519329339,93.38025924176101,89.54554574400606,88.09940379402157,73.09587575352926,74.59462907061514,85.93040939186673,90.60632547740246,89.38870345104898,89.17349286835001,88.8798299104669,93.17588783682052,95.95661730692625,95.25255131051902,88.58874236722286,86.64803843574559
2023-08-20,96.93828958416113,90.79997391714562,90.8240774079588,79.11242786213549,77.43202524018504,77.1583108558625,72.13422904946066,58.119578328681854,84.38708958328529,77.67564311425532,68.52113280395184,74.01432808105605,65.73151473543243,68.58422651442812,74.20863266698899,75.75976375744877,77.22120657717483,89.7086924671925,92.01658581011888,96.18480943217781,93.93345915862943,95.86178709367411,92.52311181534846,87.60266133674409
2023-08-21,86.22430002073314,75.96439398871883,71.74710835664473,70.45247714658652,70.94634327941836,68.11531339780296,66.30022041795321,64.74950280248474,78.67824007059865,85.32656548259108,81.3345024845135,77.17580850581095,71.22527637451675,76.78480553492913,84.59444151129338,86.5623034346842,86.50889434340343,87.20752607445014,93.8172699523637,95.05178151921761,95.71565836291448,93.67036252242765,86.79803182513335,82.3609827056942
2023-08-22,91.67000399054456,89.16668633121284,79.01376976160124,73.46041081762992,71.4956628414914,69.83903720372034,71.2870868208216,67.49918340755043,92.33175170522861,92.715348055146,92.9524158958948,91.64026957266968,78.19170525052206,90.68616078677022,89.8294730226177,90.33360447836337,87.09507557450108,91.8666219060289,96.3479282253479,98.87392398656993,100.10266127150916,99.84680942298313,89.58953294490883,87.19156066953018
2023-08-23,93.71680514147353,89.21777866790283,78.64126359206712,72.68751295074172,69.19685742369829,70.67845858232452,69.45257788167392,67.18687055212989,92.21046497658341,99.07020707561686,100.18225596663021,98.42490276502238,89.10568286680885,92.9673409195312,98.60362371261468,99.73722452032584,101.52631178089213,101.75463795936709,100.5576627060173,101.36159836181663,99.8615446120788,99.7273985681813,95.76724592405945,94.74575233099154
