,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,82.63386182167093,72.86301232222243,69.04364968054149,65.3458408104664,65.55463856133385,66.90907423448671,68.2770088895414,70.16250588662975,89.72236591784275,93.85726217280268,92.75642399954117,97.19297275926712,80.79742362412136,80.32620454576241,87.45362895947245,96.02368867962346,98.37825176782428,102.87052419708445,103.23301666179582,103.09048347637005,99.2973816481607,101.7118204237765,87.11659067114458,77.53740265226803
2022-01-02,78.8516464926503,72.09136612991928,66.78634283274636,69.96431592911743,64.3978606935409,64.09080694578597,66.48691535256087,69.37699484579241,71.01731297530483,70.62922344201081,71.05248880275508,71.65445567875739,65.02046975610068,70.91208549297657,75.56284731012047,78.28637932606551,91.09149639233964,108.11159218200416,103.421538518452,108.6445035917192,108.30242198862771,107.78032491407008,80.15229494229705,77.07218118802223
2022-01-03,73.07717430706857,69.05698327474236,70.16616181368391,67.88409940902216,67.46262815087239,65.86971394590766,68.94611480712362,73.47238719324437,91.71300548888037,90.77943191663546,97.5756478343074,98.5406489952449,88.16721869961515,88.26809616290076,86.40714814299042,86.89982639729818,90.38703777043467,92.6303758585747,105.50866010946157,103.87414088326713,101.15575902348655,91.75985364496968,81.29348356698728,75.0868473955604
2022-01-04,74.4948598152752,73.96963220639874,71.22870836676842,70.99728436807982,70.44938325364375,71.34905683658725,73.41629302874375,74.48748060416307,97.35384413813405,84.6293379292415,86.66767702923275,88.81324955678109,82.25574591728741,84.8578482025506,92.85796185557868,91.93776546515416,91.24212793684839,100.33507376633432,101.1514256422134,103.52712067051115,98.36788816132888,91.89673348003934,73.55230722595287,72.73701141184965
2022-01-05,74.2065466753582,71.17361304289352,70.40093569799774,69.57719691741633,68.10047169805732,69.47792648811384,73.40717179394466,81.6991782705743,86.69395326648373,80.28585530390725,80.53513379421096,86.07478350544048,75.46436147842535,72.4381227242412,77.00289216785947,81.11815573731879,83.97002873178315,101.37211396432176,102.44212001414968,93.94137719653997,87.03709257672263,85.07325435002632,71.4058016849701,70.0270303179121
2022-01-06,75.32532086625912,72.11969207749492,71.47702410572379,72.04974556427412,71.80034047667598,71.06485076844054,73.82983696165344,84.15443467235673,96.38997712151428,94.63463759198171,93.20318737747586,94.5874121723112,82.2775731291578,82.37666514623321,85.49418389851306,85.40897517676706,95.73087672668069,88.35849879680663,87.71078786344287,85.84708168063655,88.61298245716706,87.70461764012654,69.57814544740708,69.87399403326235
2022-01-07,70.9325784251882,71.15547083229663,70.48265757784226,69.75518981741658,68.27913586712154,70.26654411583488,71.37717270762447,73.725817790181,93.28809398311911,97.2784963004318,88.55992835488372,89.43289311436341,76.31907890196676,75.89312276421018,88.52754454143421,90.43673260905807,98.2694139160683,93.67863027170418,99.48941449366967,92.96911228052494,92.85140046712212,90.44179456708198,80.98435998222844,72.32133070268439
2022-01-08,76.54894805155877,73.53553797468504,72.18874104631216,70.47568684434148,69.27626324310765,71.47485508426752,79.9068463396059,76.74244779145074,85.95990580584912,87.554418220004,87.50477307247839,88.9147770455445,85.27655358152116,88.08149791118221,90.07160646521577,89.69267897859179,99.64162328512242,105.95151755119313,107.00339506372158,106.83271225436681,105.37625731774375,100.92028384426445,78.83374683109255,73.07280762380297
2022-01-09,77.65391475642276,75.34376576457637,69.86774163093546,69.24184836861846,68.27944693289199,69.85253474119376,72.15517183795403,75.51299403142522,72.89509576923479,77.57457489432969,76.45230156667807,77.87110033887684,75.96957976052607,75.4182612910213,73.67031524712922,75.25421344070608,79.66612665554055,95.27803357464465,99.44356564280021,99.77001256679759,100.62765832691001,95.96977478105534,73.99539185287871,67.6879899731585
2022-01-10,82.70648459283477,85.36368324710139,72.42552804855528,70.2816684461793,69.73323045574597,69.55625745945161,68.91723265551501,72.65324357947063,82.60507748136882,87.43957574323524,83.22189632693588,84.50716958206681,88.45705708650345,91.3590567748378,93.52206638175234,92.7273815188423,98.52471769411387,92.46329449673655,94.93886565215274,94.22835132628327,92.48608599039778,89.92467144433554,77.01815523326465,75.93970597922592
2022-01-11,82.55225610316593,75.31632871468047,70.89030382511827,68.35539385704682,68.15669749882889,69.34285096053385,70.27610671090316,73.71768598773515,82.88244942307544,84.28973594541756,86.64231259036434,87.04381479347794,87.24886126865742,92.48620319776238,89.66585066881028,88.30605147633021,90.33895638481282,92.78065775063446,92.96855716669167,91.86541134099264,89.17490210846653,84.17871299874176,71.44357952585325,69.95371948211512
