_d,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,70.55436031529612,82.46897353473169,69.95674836917705,67.12789000307465,65.83692429141372,67.7808050840346,68.06428345002695,70.80764659262994,85.33323285062687,76.59038674954164,75.93695330301946,72.43529017675004,52.079272398655775,58.65492516974216,70.87555137944051,72.03170458070528,75.48284671578816,96.24702346073815,100.69647831676836,93.32462580353868,91.31926958049392,88.12238146588449,78.44531488117767,62.64872310314864
2022-01-02,70.57409476090154,74.94085098212155,71.35302298586792,69.0501430817852,65.90681277192539,65.12095494204029,67.90221332767123,69.84462841779283,59.08970542779337,59.055506132076,67.67475798002732,70.6651254504385,52.98689681452465,59.891468774442345,69.2939958823298,88.29042163839352,70.22827810385718,86.91496653635714,100.76386525324178,94.22465655556258,92.45847029335205,88.65475828511057,76.95145094844644,61.295048056415844
2022-01-03,63.07560201764111,66.2421974509413,59.86725248908702,61.87653355432951,58.11225963886012,58.86165235279629,63.50973552947609,67.86247731860169,89.5408666242674,95.76570475990155,88.39589994141996,92.85774015288317,71.79614627227912,71.08237725500678,84.77201263194897,79.35033630192842,77.14111111345107,95.71492774768595,98.956944421889,91.80202404120034,91.0182601559578,88.03771650412483,72.3162924270389,64.2157183646124
2022-01-04,67.02340407135638,71.96330821188276,66.18521409456318,62.251330226432415,62.289353680491935,63.46224387237607,66.5263108910072,70.40501198079603,84.18602650639723,96.1956981292902,93.12093400321099,92.6665884163139,72.45968886611526,72.9992325963241,87.68143243871596,87.15121056439571,93.94857305836184,95.61761291457904,99.0974853934885,92.49579078029265,91.6087412825066,86.44806661128771,76.68260762654289,63.14363173275111
2022-01-05,70.76210251978506,72.36540881281287,66.51723521058273,62.72527410892555,59.57997380167634,61.9559477796585,67.19298738212449,72.92199944129965,94.66998447609706,89.13510418808211,90.8230007185971,91.68818743711209,69.53683769872768,72.42774757985818,86.80816049054918,97.2098446613616,90.05634500464238,97.99744569238939,99.10384626385414,91.64739932762295,89.29334814917337,86.22937837130276,76.60278480276331,63.348973965548616
2022-01-06,76.57879192860528,75.2517466774758,70.26171605143414,65.81698304835635,65.68686680860321,63.241797726484414,66.19672104084457,73.50167232699197,91.67461982516429,86.06973693585685,82.85573098544329,84.9885657991811,61.916868511942866,67.77461011993417,79.09290291191002,84.76702215894419,90.79878827200551,94.88210100001548,93.80027231873852,88.88907478826177,87.87557783982989,86.67558359907707,78.73918438448582,62.2910079355198
2022-01-07,80.63612072054089,77.29398240941944,62.68451327002207,60.30784767054061,62.510151151407705,61.31921947078739,64.84890716697318,70.61558073451818,84.90117851269912,86.0720997466244,84.14336958637504,83.08307852674345,63.69140933174369,68.63768864615672,81.9803302011625,83.6890899107602,84.83392201651023,90.08086840724054,93.10841402264806,88.39408435094786,88.9941355782184,85.64366571212713,76.41128365378042,62.41095059877162
2022-01-08,83.77551267585125,79.54547555119717,82.26784203690687,72.34126244026774,69.95167606617575,66.99633180745145,68.72478015589078,78.33246891904618,93.89184292185413,77.88944490972546,80.04564899407505,80.27823873629136,59.28875513093844,67.06554570103687,76.79427521351852,81.2017057518286,77.2191236727351,92.74314759240274,98.09662699847988,93.73601221503525,91.88298721193934,87.32752963362465,76.73269712174131,61.97327487595565
2022-01-09,83.71372849834279,81.34959935853661,66.57937503163566,69.33633381951438,62.367850963505575,60.562647017093056,67.27517290198787,68.51035043429975,66.60186238715114,59.63597220779794,72.80910300528345,73.1504277543724,57.82510180568606,60.12137424043899,66.15874992089479,78.21499979336183,75.90623666675323,82.65609797494868,99.5219978492116,94.8806083836587,91.84160419495136,88.29387602971438,76.55731041770558,61.66934097153952
2022-01-10,59.816831094376205,79.59451501185444,72.59021753561865,68.83136066080617,68.92562328129648,63.773272421212226,64.81691493705269,74.11198276591352,94.17488316587186,81.71471689615782,83.64732590748606,83.26667569405642,70.60077539845797,77.40564642687553,80.14514235436152,78.89086375435248,90.22317547863307,94.22062335512575,97.23583604124583,91.09986880829759,89.73649900028211,86.5315892159767,72.57852956436858,62.80589865918842
2022-01-11,76.99207259642391,72.27299059824084,69.73726816021042,71.24873452645487,67.77829742960512,66.1525375375186,68.28778374256854,76.91722034308818,96.7003477444314,92.60040162245002,88.76112882972828,89.37303199114498,79.70201928203471,76.96999226391847,83.16979452488313,86.03937528517773,92.11785713322841,95.06198067172376,95.93680850031718,90.78511757640189,91.34515160672424,84.22106552117032,77.13484099343823,62.97255220221441
2022-01-12,65.2405439555691,61.93528805933463,59.479034293839305,56.679319240883615,59.48765412631768,57.54744736075402,64.01794949203747,61.97914717659946,80.18687425014693,84.92633082563877,86.1086916245018,81.30552735072023,88.26184925365725,85.26661679868407,86.58549147951639,82.35617985074003,84.20791650069305,84.89906178573479,86.28696420243752,80.01079905544032,82.7889849547789,81.5125096535681,77.46525299528966,63.36908862652642
2022-01-13,75.21031274609322,69.0065133559637,67.51036961197967,65.23799075619851,60.605636799327755,63.4043709064419,67.22759123728379,67.46006536202177,87.03809909236125,90.62618466538281,91.45825539271469,88.81314669754774,85.40333339725345,88.20308827580963,92.31292900805805,83.75259258646611,87.15576078758609,85.09930956647781,82.91635337322724,77.67457781774432,83.5649849318288,81.44814017112319,75.21446630439792,63.283646955100664
2022-01-14,78.41606903256829,69.23129955376321,62.116043840988574,60.10457125558446,59.30751648323989,62.55424263265333,68.18261963057596,73.28236562335717,90.6621998320002,97.72972058395283,90.35831353171203,89.40171163823184,87.77979970538254,82.03734866098334,86.59348306990815,85.40237105347755,92.6577195768112,90.70357333922072,88.80839636411991,83.48919111494409,86.61204842662328,85.85536805112572,75.02957590010409,62.75401645498618
2022-01-15,75.71232864010875,72.8122075518448,68.81627681476229,66.08108286835058,59.40572045052044,63.79122184401166,71.39924819041944,77.13291013874534,98.11630977312385,90.96775713488991,89.12191519973732,90.17170108100304,78.25350877757252,76.85870052654573,81.81637666039043,84.44172951088817,89.77138912848315,94.37549462711296,94.79423850859801,89.73617245465564,92.07886581343676,87.97298866937895,77.10605290141861,62.81233217315912
2022-01-16,74.25897864360323,70.8058000804647,68.07600318893203,62.56346146057764,59.59561372015181,61.77063099240776,63.94432305505127,69.44198640486483,55.666519362230666,56.53066246187904,65.41756147214976,72.21321229444625,61.31657624998075,62.37440231295308,71.47154787845034,77.83590009276692,77.05193730195444,79.89527360167143,93.46610846916903,87.28421088844073,84.91989903454115,83.44400704049688,71.02047298230312,62.56766295452004
2022-01-17,76.16472757838704,74.34461554142243,67.50338563711186,63.52595918519561,62.08068282949014,62.587806133520765,66.43247431564654,76.4220543500705,97.26378503359284,99.8953502475195,97.20003600445591,96.09664513364994,75.96679630877351,78.32791025620712,88.41553609471677,87.02465565673657,95.07386808953245,96.02840519923046,95.5525940202129,90.17827709031472,91.70334215386082,89.15006847153823,78.59160191963896,62.0234056987438
2022-01-18,74.93456779756526,70.22954865756368,67.9481727812675,63.991555333284296,61.315630584052606,61.203401447110295,71.11282048100733,74.87868063868763,93.34237219150315,97.43013414988827,102.08723928055215,97.38955547821584,86.52293175956055,90.31111192121467,92.57975239184886,93.95288681534507,93.57748924487116,94.99491207233098,95.15353065918895,86.79839756767551,90.57457425961576,85.48925565357989,76.89492675078876,54.10717786379814
2022-01-19,84.30660157303763,74.21095741674071,69.16129826384925,63.99979218927821,60.81526954193813,63.358886353848234,71.10222060677907,75.65540223311906,90.8056204737254,100.1408943367472,101.06833304955754,98.9140931890005,89.10474818668082,88.56594241896127,93.70929287510937,92.49153322125993,94.73162401981911,95.26323658932134,96.3823459805196,86.29573125566947,89.2408842570898,85.57988131799826,79.12842535905374,65.94930697396109
2022-01-20,83.25406917392321,74.79789452645453,69.15579412188397,65.31636033585617,63.0729190930654,64.09414360639423,69.65599174428147,77.7522074481227,96.95648666891651,101.45041776264192,95.4439841539595,92.07563125663482,84.14049301947327,84.41186519791619,88.3141588208683,90.00816077904652,96.52859073392194,98.35584010928319,98.33604375926865,90.78091787183448,93.99724039705508,90.86469188071246,80.68609104723453,62.84491329540109
2022-01-21,80.1846445650351,73.6426743998468,68.10532838549491,63.31914338252053,61.85775110309398,64.2360795028844,71.03286044834846,78.02629334841909,97.68832668415477,84.32963585354759,86.8169844426145,86.74896704891486,77.72905727948638,79.79251158795746,86.14352679924,88.70806209254084,91.88111909036493,94.35432025185816,95.37452003647297,91.61041455957707,89.64840718241837,88.45025248817367,77.33685850546574,69.9735595488462
2022-01-22,88.72521897396116,78.10756667056381,72.28225451059987,74.87771618101043,64.49867084315807,64.75684299072984,70.00616506452673,76.971889807937,92.92033604890193,85.65937093632978,85.15784383426538,86.41968363441278,83.04405613718004,83.12485382683806,82.39663300529503,82.04037246770088,90.35214338131148,93.74557454708716,95.63299661067457,93.59336542408697,94.29342667372512,89.4265739259209,77.61170477557893,68.93264855325312
2022-01-23,83.03719083465698,93.75368777159544,78.67063588054927,78.07974365218938,67.76891492738714,68.57597599111217,74.03827914717398,83.16714369617455,100.13680328096541,78.30029629555652,87.03198385845006,89.88772342947632,90.82513924050456,89.264848074388,84.21269525389361,93.92258574931446,88.61080347101829,93.07616158474832,101.8235339523758,107.21569690521555,106.12176275402136,100.99432124384703,79.17818773976434,65.42725362855666
2022-01-24,91.37225771429824,91.05742274487727,91.56951348953673,85.2608956441827,84.14529956783377,86.78684160262769,81.70020929434345,94.72908934497065,118.25384900327946,93.42897710462096,97.7916878298983,97.52742928390438,90.02536633354418,95.86798750214874,96.98718371823273,103.89517975012848,112.88141247652207,109.84197561525446,101.69493202922853,104.72075735098201,102.20608697399581,100.85583501488213,82.41802643853993,75.66973241370376
2022-01-25,88.81885803045103,91.99021034413872,90.92629544871406,79.82799079670504,73.28811682494467,73.92025862280731,83.32203838974625,84.28686845776473,95.3071373681148,99.90987296501908,106.65130697185657,104.34002243426134,97.07825913420928,99.31954074483691,107.70995672072264,100.98583555165627,105.45141062758036,104.94474350509284,102.69699250795402,105.26597660061643,104.01108291697885,97.8660116432447,79.02882911983372,67.74042169810427
2022-01-26,81.91727835651336,73.27930608287414,65.38853974072651,64.83572713792287,56.28297238999099,58.42019439715183,65.60354712972163,71.37871474528316,89.43636728012089,91.50654431566868,94.7691514313683,100.66773026104691,84.9760121095853,90.13860142762337,95.76899739673729,88.48361840626563,101.10133191840461,96.882304650593,99.08560785374908,93.25603877216216,93.27768003582052,85.32365358059037,79.07641121010295,71.96623951708015
2022-01-27,72.05941477762468,80.73594569014553,71.859135020826,71.85698083218787,65.33392541887473,63.71886406643153,72.47176110901432,83.92952238465799,109.1563059039568,92.50603399558706,97.28382936742666,99.0648178802776,98.29756464766375,100.52417150209966,96.47975895377886,96.29630267804951,104.48056897149766,100.45410685877269,103.75938044208864,96.01739017014054,98.89935519620305,92.59674094261769,81.99610069602373,73.50687341691392
2022-01-28,101.88549667031843,105.53502941728854,98.09878185827878,86.2239251036803,78.6899496187396,77.58670534992541,89.75987700982482,97.14611497785077,117.27274585795021,99.50886179835926,97.86591788573598,103.59062359708072,88.72528958407591,84.91677973575777,93.69241712915587,95.50033507256738,105.41665131941805,112.91759334626005,102.9843178751199,98.02636145591362,98.42014525911672,99.78188461568813,81.75092772747345,74.08304128699112
2022-01-29,91.78291667271617,94.72228508606652,97.41853371858882,110.89874782332292,82.21740340743715,81.27056220379818,91.18648995713555,93.7036105762897,89.55527829565368,89.09324918766666,87.20642659317421,90.33431098104171,84.69764483598554,77.44809987639955,80.15817883292085,82.47105483283279,94.55575576115584,98.93460452287688,100.6850157888332,94.8482794691021,91.91058990590332,92.48062465173138,78.46589004276152,68.01527733713253
2022-01-30,93.61315550513936,115.54107578412301,99.1086082761544,99.64454588450056,87.14274819073783,87.43808663156373,93.15985874645396,109.43625383662322,100.37980120283696,85.7452133311486,92.33413541326844,94.35605794937314,97.92589892351792,94.46064420853124,88.65553862834624,94.20741547579786,95.0352006670554,95.26172230175774,102.06792542407534,97.03535572926407,100.62857442418328,102.37561089438704,87.2263781369937,68.33065096515874
2022-01-31,94.96144948402323,101.42523047441227,98.68532060929766,97.44028654816992,89.63464509950236,89.0188609081972,97.16602993377255,112.0645208119172,118.85716563221123,106.86059257349334,103.0257685563496,105.82367681605294,106.63436536930803,106.05332364084836,107.19216770940253,106.27249983224203,106.63318437461511,107.04982081166467,102.0901922335073,96.92197701178115,100.61086903445914,101.50180381223707,88.42001768273698,96.85379008458736
2022-02-01,95.76416599239067,98.88451868645282,88.21393897178883,84.65167533258564,82.10833792703912,83.23180236312646,89.40931494452465,106.31963909737277,109.69044865627718,112.39600104218688,107.12915906581729,104.54313680214334,114.80601903197255,116.57346638652636,108.22385521112827,106.48892271555893,104.76822505578315,102.18823330918406,102.47286201866524,96.40324013953946,99.6473512204761,100.19503071265274,78.9102422586155,68.71496074341587
2022-02-02,106.59480115929655,111.59962373175641,101.97478461178058,99.16661412329526,94.17340808305693,100.94357582263429,98.36917293535002,119.06202247545467,122.12126416815147,127.77692331303358,126.22200771402383,118.58608127378439,138.87243598968936,133.07262237864094,116.7450322760437,115.15407553547793,111.98743659181886,108.7415199116853,107.81329570022265,101.66959072715963,106.67908514998823,108.36797712164267,93.09748104970637,85.75610176100386
2022-02-03,89.5469479076308,95.5748441204217,87.84747415735886,87.23638281619178,84.53442804329528,82.23180741538405,85.35729910871883,93.2212612547534,123.55286410511968,123.71744343004478,119.93963055089597,115.95694254386599,107.08829938029766,107.48000426338669,104.4692488489646,106.88514637025669,110.19546911828891,113.359579114236,115.96813967873722,105.77852397052644,108.90567871955965,105.75581871305788,95.33857020096646,88.66169752060263
2022-02-04,83.94524487531886,86.69644449767267,77.53772912188629,76.79965286402268,71.38211782986276,72.55851051668596,77.77856354688305,92.17204999331507,117.628101564537,114.54305403698558,114.00268762707628,114.81752909957765,110.10175273405878,96.65781212686737,101.46333766276489,103.42270459952383,112.3410231727244,108.39960563924754,109.71486307894261,106.68195092317448,108.97708381044968,104.78614568968543,95.24099950141105,91.07315104624374
2022-02-05,90.0921242686597,97.74296748250353,89.9751099175799,87.40661584452019,75.51199142764335,75.38158383314402,81.01051852009931,89.05747088662783,110.6783078953295,101.82271324763461,100.14085109291004,102.00106635714313,94.82153385260342,93.68353465030879,90.73155460115576,92.20736425943703,98.0022314240933,102.85321748871537,103.47719997840801,102.29362304974487,102.43343800305587,98.53154268120544,95.41372004456653,95.09179874353038
2022-02-06,119.61185406091819,110.46531878737468,116.48054940286934,125.3491512607322,106.1842282233609,104.04534219618445,95.40300120363757,101.11039497380818,96.91773675935292,94.10640536498794,91.92211158380334,94.61858771209357,95.36196993501433,89.79977570017846,90.55881744651583,93.810028429807,101.88553130001318,103.22834927663614,110.70099808481196,107.8277470993874,110.32923071466925,108.95658309295786,97.88483866668308,81.77622167719856
2022-02-07,110.34110035318339,96.75680213044892,99.2093958711776,92.54881883216754,89.85220713663617,89.79829641908339,91.49851233716164,98.67932192052614,109.27429404546604,106.87992729875577,110.12217911018115,112.8827816490757,115.00031282013913,104.25712518839428,114.92878334793033,113.77513089702093,116.0011996493979,110.94322075954258,110.33666621477941,108.13535064432486,110.93355201742702,110.24436182990881,93.70972124474245,76.60046885375412
2022-02-08,86.95023855652771,85.01518959235352,81.63824381471696,83.30684725336548,79.70946147570551,77.27379903609793,74.66312633169254,96.23036850488307,111.52694361852573,118.93789352952896,111.75571069384782,113.09637339019663,113.78557232379622,112.17087568176713,117.15563388178107,112.29742686758736,109.66784343151204,101.64755231443974,106.37908174410433,103.0564747084664,107.04279479391246,107.78758302820565,92.60678901450645,88.42022170447278
2022-02-09,87.58962428321554,91.9392246653822,84.87480530104962,77.2488713679508,73.47083550477281,76.0203525554847,78.96898676440014,101.15172455767743,115.88623588805424,118.41871512324064,119.58137590972775,119.81258338505332,110.03764658744988,106.9425293921084,109.46467015490798,108.63616425495788,109.5899416127782,108.48345723755845,106.40891088311938,103.48593263188408,108.06940805259053,105.02511391928876,81.27912677499897,64.95018729601334
