target_ts,predicted_load_lag0,predicted_solar_lag0,predicted_wind_lag0
2021-03-26 00:00:00+03:00,36023.22194405331,0.0,2167.936306763973
2021-03-26 01:00:00+03:00,33195.80195253618,0.0,2677.222861015575
2021-03-26 02:00:00+03:00,32683.980363510545,0.0,2167.1484181557285
2021-03-26 03:00:00+03:00,31359.59555955466,0.0,2205.7136722323944
2021-03-26 04:00:00+03:00,31161.164537682485,0.0,2303.025231782448
2021-03-26 05:00:00+03:00,31447.494111912954,0.0,2275.877698504319
2021-03-26 06:00:00+03:00,32280.246264117082,0.0,2275.877698504319
2021-03-26 07:00:00+03:00,33949.34747377207,0.0,2225.6259410403113
2021-03-26 08:00:00+03:00,39377.64937661001,0.0,2208.402869608204
2021-03-26 09:00:00+03:00,42445.28969140576,0.0,2020.6578633444055
2021-03-26 10:00:00+03:00,42759.90306946432,0.0,1917.3957829209144
2021-03-26 11:00:00+03:00,42778.08822340455,0.0,1961.2132358233255
2021-03-26 12:00:00+03:00,42595.938812541295,0.0,2549.0003832636726
2021-03-26 13:00:00+03:00,42524.136490699675,0.0,2671.8971188521414
2021-03-26 14:00:00+03:00,42544.052679905406,0.0,2904.3754433458957
2021-03-26 15:00:00+03:00,42462.41197261916,0.0,2934.209648084641
2021-03-26 16:00:00+03:00,42070.84473657465,0.0,2827.3402987960403
2021-03-26 17:00:00+03:00,41020.25989524204,0.0,2588.111226821818
2021-03-26 18:00:00+03:00,40229.17035153018,0.0,2467.3500340129713
2021-03-26 19:00:00+03:00,40860.448684489915,0.0,2074.053907132482
2021-03-26 20:00:00+03:00,39517.85230003098,0.0,1708.066773431638
2021-03-26 21:00:00+03:00,38535.03088570117,0.0,1686.5939241302196
2021-03-26 22:00:00+03:00,37999.27419534323,0.0,1607.526971101807
2021-03-26 23:00:00+03:00,36162.74779462644,0.0,1449.4250945328322
2021-03-27 00:00:00+03:00,35120.49956979227,0.0,1832.933893378325
2021-03-27 01:00:00+03:00,32696.658146853108,0.0,1640.1993638283745
2021-03-27 02:00:00+03:00,31735.216272544807,0.0,1652.5976047322374
2021-03-27 03:00:00+03:00,30984.48751423164,0.0,1518.122808260816
2021-03-27 04:00:00+03:00,30964.079256432688,0.0,1410.8674557144616
2021-03-27 05:00:00+03:00,30958.008042753154,0.0,1470.7187804660007
2021-03-27 06:00:00+03:00,31257.804941676633,0.0,1411.0364843280447
2021-03-27 07:00:00+03:00,32057.431301170367,0.0,1355.6225317111239
2021-03-27 08:00:00+03:00,37216.57721594454,0.0,1295.557049751831
2021-03-27 09:00:00+03:00,38197.468510673585,0.0,1400.7017764489292
2021-03-27 10:00:00+03:00,39809.72475292704,0.0,1336.969684624372
2021-03-27 11:00:00+03:00,40178.975868560985,0.0,1299.3348359693575
2021-03-27 12:00:00+03:00,40080.77626783591,0.0,1212.4988666567158
2021-03-27 13:00:00+03:00,39905.36158931061,0.0,1423.0128257735898
2021-03-27 14:00:00+03:00,40047.05650780718,0.0,1423.0128257735898
2021-03-27 15:00:00+03:00,39564.2803786303,0.0,1260.207946766975
2021-03-27 16:00:00+03:00,38859.68027255377,0.0,1384.5677695931608
2021-03-27 17:00:00+03:00,38374.15313697244,0.0,1728.2757908136587
2021-03-27 18:00:00+03:00,37975.85272938627,0.0,1978.871581059955
2021-03-27 19:00:00+03:00,38759.3916257317,0.0,2189.2825160098264
2021-03-27 20:00:00+03:00,38410.42201928063,0.0,2016.4721217616016
2021-03-27 21:00:00+03:00,37742.86464448088,0.0,1463.0611486149999
2021-03-27 22:00:00+03:00,37417.5434500895,0.0,1195.197861267618
2021-03-27 23:00:00+03:00,35357.18616852535,0.0,1104.289206714912
2021-03-28 00:00:00+03:00,33999.17957432465,0.0,1341.8633474427884
2021-03-28 01:00:00+03:00,32160.893984977345,0.0,1283.906393344894
2021-03-28 02:00:00+03:00,30860.133488599895,0.0,1301.0385988276419
2021-03-28 03:00:00+03:00,30331.643439640666,0.0,1279.4383420319577
2021-03-28 04:00:00+03:00,30094.70461831723,0.0,1274.145962352695
2021-03-28 05:00:00+03:00,30327.83935809621,0.0,1281.9206009070426
2021-03-28 06:00:00+03:00,30268.954174462982,0.0,1324.6467757253638
2021-03-28 07:00:00+03:00,29596.545147042078,0.0,1220.3499891364127
2021-03-28 08:00:00+03:00,30642.399692217095,0.0,1327.2851887734362
2021-03-28 09:00:00+03:00,32790.444756875055,0.0,1243.7548036975838
2021-03-28 10:00:00+03:00,33313.757476351275,0.0,1169.3767889454944
2021-03-28 11:00:00+03:00,33778.38640951716,0.0,1078.2419265693636
2021-03-28 12:00:00+03:00,34420.76086386104,0.0,1049.561869992229
2021-03-28 13:00:00+03:00,34677.37631150963,0.0,1366.9745495425675
2021-03-28 14:00:00+03:00,34518.67048890548,0.0,1374.6282888536043
2021-03-28 15:00:00+03:00,34443.0943072721,0.0,1576.7506175231647
2021-03-28 16:00:00+03:00,34196.83816480115,0.0,1998.7266127272546
2021-03-28 17:00:00+03:00,33897.660114452156,0.0,1943.3764112314318
2021-03-28 18:00:00+03:00,34718.541837062774,0.0,1954.67256367682
2021-03-28 19:00:00+03:00,37641.81807733699,0.0,1810.673200677156
2021-03-28 20:00:00+03:00,35611.67804304866,0.0,2340.986268823708
2021-03-28 21:00:00+03:00,35249.70975024806,0.0,2368.9368602649865
2021-03-28 22:00:00+03:00,34949.53286307293,0.0,1454.3213940297974
2021-03-28 23:00:00+03:00,33926.091643208776,0.0,1213.2967392641558
2021-03-29 00:00:00+03:00,32281.00354048389,0.0,1065.2688443089737
2021-03-29 01:00:00+03:00,30699.78423926546,0.0,1075.9821145166181
2021-03-29 02:00:00+03:00,28927.716385592954,0.0,1070.0567635579434
2021-03-29 03:00:00+03:00,28734.636536257723,0.0,1156.5583125196245
2021-03-29 04:00:00+03:00,28455.881518375027,0.0,1145.2581231820182
2021-03-29 05:00:00+03:00,29086.152323405873,0.0,1261.8199808954216
2021-03-29 06:00:00+03:00,30106.1305926301,0.0,1154.6859849809064
2021-03-29 07:00:00+03:00,31867.95158336474,0.0,1475.9763597362935
2021-03-29 08:00:00+03:00,39469.39216508725,0.0,1798.149397321668
2021-03-29 09:00:00+03:00,42671.23683903391,0.0,1537.9416395860103
2021-03-29 10:00:00+03:00,42711.79665943662,0.0,1282.0265899689107
2021-03-29 11:00:00+03:00,42604.92600930124,0.0,2389.9093889591327
2021-03-29 12:00:00+03:00,43267.27313157748,0.0,2236.111566806588
2021-03-29 13:00:00+03:00,42551.96788289432,0.0,2568.9802344469786
2021-03-29 14:00:00+03:00,42630.103602346804,0.0,2652.881610768903
2021-03-29 15:00:00+03:00,43216.32044504702,0.0,3263.7963679283293
2021-03-29 16:00:00+03:00,43052.58478936457,0.0,2508.6719286122147
2021-03-29 17:00:00+03:00,41596.602657135896,0.0,3305.299263543372
2021-03-29 18:00:00+03:00,40535.07927043972,0.0,3779.5141853318846
2021-03-29 19:00:00+03:00,41092.843452034234,0.0,3928.235456766843
2021-03-29 20:00:00+03:00,39936.65929132621,0.0,4234.241412965446
2021-03-29 21:00:00+03:00,39059.06409743377,0.0,4437.359579395469
2021-03-29 22:00:00+03:00,37950.68869282173,0.0,4687.485657129537
2021-03-29 23:00:00+03:00,36520.64612476145,0.0,4978.344565650654
2021-03-30 00:00:00+03:00,33630.35258582582,0.0,3426.879120027676
2021-03-30 01:00:00+03:00,32722.89518091492,0.0,4065.3691593889757
2021-03-30 02:00:00+03:00,31148.427210428992,0.0,3278.2531330549236
2021-03-30 03:00:00+03:00,30712.090266291918,0.0,3860.176276008056
2021-03-30 04:00:00+03:00,30667.78833599145,0.0,3707.728311308922
2021-03-30 05:00:00+03:00,30855.056229798687,0.0,3663.9638040052664
2021-03-30 06:00:00+03:00,31599.540409439014,0.0,3579.3979938069824
2021-03-30 07:00:00+03:00,33207.1369234478,0.0,3437.6093400171476
2021-03-30 08:00:00+03:00,40432.651574983036,0.0,3320.66390893997
2021-03-30 09:00:00+03:00,42083.50524480358,0.0,2486.2406954886833
2021-03-30 10:00:00+03:00,42320.716056613266,0.0,3118.4513588112727
2021-03-30 11:00:00+03:00,42273.891885205885,0.0,5136.165912103745
2021-03-30 12:00:00+03:00,42066.30391789667,0.0,5158.786828110017
2021-03-30 13:00:00+03:00,41777.92374766962,0.0,5825.012599906934
2021-03-30 14:00:00+03:00,41867.86000007158,0.0,5885.478575328035
2021-03-30 15:00:00+03:00,41664.691474860614,0.0,6162.547916065008
2021-03-30 16:00:00+03:00,41650.49132059604,0.0,5996.792143275846
2021-03-30 17:00:00+03:00,41486.105326328725,0.0,5927.27302279835
2021-03-30 18:00:00+03:00,40537.506930278585,0.0,5808.757467008733
2021-03-30 19:00:00+03:00,41249.230395574465,0.0,5736.923478536995
2021-03-30 20:00:00+03:00,40145.89873656191,0.0,5652.326211495677
2021-03-30 21:00:00+03:00,39140.49267274266,0.0,4926.0076284808965
2021-03-30 22:00:00+03:00,38063.84613291924,0.0,5021.694777978724
2021-03-30 23:00:00+03:00,36591.59132698731,0.0,4301.851720661929
2021-03-31 00:00:00+03:00,34609.39764857915,0.0,5226.149148420793
2021-03-31 01:00:00+03:00,32804.58399351166,0.0,5643.9160081727605
2021-03-31 02:00:00+03:00,32048.761021918537,0.0,5135.457593212965
2021-03-31 03:00:00+03:00,31040.833218493248,0.0,5210.228777893981
