candidate_id,source_type,start_date,end_date,auto_hint,ctx_mcp_usd_before,ctx_mcp_usd_during,ctx_mcp_usd_after,ctx_pct_change,ctx_cf_residual_usd,ctx_cf_at_cap_share,ctx_n_hours,top_news
29,A_cap,2022-09-01,,AFL tavanı +20% → 4800 TL,169.8,197.1,211.9,16.1,-31.9,0.0,25,[49982] 2022-09-01 Spot elektrikte geciken avans için kısmi faiz affı | [50140] 2022-09-10 ABD’den Rus petrolü için kılavuz | [49974] 2022-09-01 Elektrik tavan fiyatı 4.800 TL
30,A_tariff,2022-09-01,,BOTAŞ elektrik gaz tarifesi +50% → 20625 TL/1000m³,169.8,197.1,211.9,16.1,-31.9,0.0,25,"[49768] 2022-08-17 Mazota zam benzine indirim | [49908] 2022-08-26 Botaş, Eylül’de 4 milyon 809 bin m3 spot gaz ithal edecek | [49863] 2022-08-23 Avrupa’da doğal gaz fiyatları geriliyor"
31,A_tariff,2022-11-01,,BOTAŞ elektrik gaz tarifesi +0% → 20625 TL/1000m³,185.7,175.9,185.9,-5.3,8.1,0.2,25,"[51066] 2022-11-01 Doğalgazda Kasım ayı tarifesi belirlendi | [50949] 2022-10-25 Botaş Kasım’da 4,8 milyon m3 spot boru gazı alacak | [51062] 2022-11-01 Eni CEO’su: Türk Hub’ı ile gaz fiyatı yükselir"
32,A_cap,2023-01-01,,AFL tavanı -12% → 4200 TL,199.7,161.4,183.7,-19.2,29.8,0.2,25,[51996] 2022-12-20 Avrupa doğal gaza fiyat sınırında anlaştı | [52136] 2022-12-28 Rusya’dan petrolde tavan fiyat misillemesi | [52071] 2022-12-24 Rusya’dan batılı şirketlere gaz fiyatı sınırlaması
33,A_tariff,2023-01-01,,BOTAŞ elektrik gaz tarifesi -13% → 18000 TL/1000m³,199.7,161.4,183.7,-19.2,29.8,0.2,25,"[52217] 2023-01-02 Botaş elektrik üretimi için Ocak gaz tarifesini yüzde 12,73  | [52308] 2023-01-06 Avrupa’da gaz fiyatları yükselmeye başladı | [52233] 2023-01-03 Avrupa’da doğal gaz fiyatı düştü"
34,A_cap,2023-02-01,,AFL tavanı -13% → 3650 TL,183.7,177.6,146.1,-3.3,9.1,0.32,25,"[52529] 2023-01-20 Hidroelektrik kaynak katkı payı hesabında AUF etkisi | [52468] 2023-01-18 EPDK'nin azami uzlaştırma uygulamasına yargı freni | [52429] 2023-01-15 Elektrik üreticisine ""azami uzlaştırma cezası"""
35,A_tariff,2023-02-01,,BOTAŞ elektrik gaz tarifesi -17% → 15000 TL/1000m³,183.7,177.6,146.1,-3.3,9.1,0.32,25,"[52626] 2023-01-27 Elektrik üretiminde doğal gaza yüzde 16,67 indirim | [52634] 2023-01-28 Bulgaristan’da gaz fiyatları yüzde 30 düşecek | [52616] 2023-01-26 Şubat’ta Botaş ve Socar spot boru gazı ithal edecek"
36,C_external,2023-02-06,2023-02-28,Kahramanmaraş depremi,178.7,146.2,112.0,-18.2,0.0,0.15,553,[52763] 2023-02-06 Üç il ve dokuz ilçeye doğalgaz akışı durdu | [52829] 2023-02-10 Felaket bölgesinde doğalgaz hatlarına LNG ve CNG izni | [52773] 2023-02-06 Akenerji tesislerinde faaliyet devam ediyor
37,A_cap,2023-03-01,,AFL tavanı -16% → 3050 TL,152.5,134.7,111.4,-11.7,8.6,0.08,25,[53075] 2023-03-01 Elektrik tavan fiyatı 3.050 TL | [53171] 2023-03-08 Almanya sanayi elektriğine üst sınır getiriyor | [52827] 2023-02-10 Deprem bölgesinde avans ödemeleri ertelendi
38,A_tariff,2023-03-01,,BOTAŞ elektrik gaz tarifesi -20% → 12000 TL/1000m³,152.5,134.7,111.4,-11.7,8.6,0.08,25,[53067] 2023-02-28 Doğalgaz fiyatında yüzde 26.12 indirim | [53003] 2023-02-23 Botaş ve Socar’ın Mart gaz ithalat miktarları belirlendi | [53170] 2023-03-08 Serbest gaz ithalatı için yasa teklifi
39,B_pricemove,2023-03-01,2023-03-31,"MCP düşüş, aylık -25%",152.5,112.2,91.8,-26.4,6.7,0.08,745,[53075] 2023-03-01 Elektrik tavan fiyatı 3.050 TL | [53499] 2023-03-31 Elektrik tavan fiyatı 2.600 TL | [53023] 2023-02-24 Rusya farkında olmadan enerji dönüşümünü hızlandırdı
40,A_cap,2023-04-01,,AFL tavanı -15% → 2600 TL,111.4,101.3,91.8,-9.0,23.6,0.16,25,[53483] 2023-03-30 Elektrikte azami uzlaştırma fiyat mekanizması uzatıldı | [53498] 2023-03-31 Doğalgaz ve kömür santrallerine üretim desteği | [53653] 2023-04-12 Çan 2 Termik’in yürütmeyi durdurma talebine red
41,A_tariff,2023-04-01,,BOTAŞ elektrik gaz tarifesi -17% → 10000 TL/1000m³,111.4,101.3,91.8,-9.0,23.6,0.16,25,[53500] 2023-03-31 Doğal gazda beklenen indirim geldi | [53490] 2023-03-31 EMO: Elektrik indirimi siyasi gösteriye dönüştürüldü | [53460] 2023-03-29 Elektrik ve doğal gaza indirim
42,B_pricemove,2023-06-01,2023-06-30,"MCP düşüş, aylık -28%",97.0,70.4,74.8,-27.5,4.9,0.02,721,[54712] 2023-07-04 EPDK: Elektrik PTF tavan fiyatının artışı faturaları arttırm | [54718] 2023-07-04 Okutur: Türkiye’de yenilenebilirin payı küresel ortalamayı g | [54382] 2023-06-05 Botaş’tan TürkAkım açıklaması
43,A_tariff,2023-10-01,,BOTAŞ elektrik gaz tarifesi +20% → 12000 TL/1000m³,74.6,63.6,81.6,-14.7,-15.7,0.0,25,[55873] 2023-09-30 Doğalgaz fiyatına yüzde 20 zam | [55874] 2023-09-30 Elektrik fiyatına zam | [55899] 2023-10-03 Serhat Doğalgaz’ın satış fiyatlarına zam
44,B_pricemove,2024-04-01,2024-04-30,"MCP düşüş, aylık -20%",68.8,54.7,63.6,-20.5,7.6,0.13,721,[58099] 2024-03-19 Çin’in kömür üretiminde bir ilk | [58408] 2024-04-17 Çin’in kömür üretimi yüzde 4 düştü | [58685] 2024-05-10 Haziran’da spot boru gazı ithalatı için başvurular başladı
45,A_cap,2024-07-01,,AFL tavanı +11% → 3000 TL,64.6,78.7,78.9,21.9,0.2,0.24,25,[59281] 2024-06-29 Elektrik tavan fiyatı 3.000 TL | [59201] 2024-06-22 Benzin ve mazotta zam beklentisi | [59278] 2024-06-28 Benzin ve motorine zam!
46,B_pricemove,2024-07-01,2024-07-31,"MCP yükseliş, aylık +22%",64.6,78.8,76.9,22.1,1.1,0.27,745,[59281] 2024-06-29 Elektrik tavan fiyatı 3.000 TL | [59184] 2024-06-20 Enerjiden kaynaklanan emisyonlarda bir ilk | [59181] 2024-06-20 Bayramda Türkiye güneşi gördü
47,A_cap,2025-04-05,,AFL tavanı +13% → 3400 TL,58.0,65.8,64.4,13.5,-5.1,0.08,25,[62872] 2025-04-05 Elektrik tavan fiyatı 3.400 TL | [63014] 2025-04-17 Rus petrolü Asya’ya akıyor | [62849] 2025-04-02 Benzine 50 TL’ye çıkmasın müdahalesi
48,A_tariff,2025-04-05,,BOTAŞ elektrik gaz tarifesi +24% → 14904 TL/1000m³,58.0,65.8,64.4,13.5,-5.1,0.08,25,[62869] 2025-04-04 Elektrik tarifelerine gecikmeli zam | [63022] 2025-04-18 BOTAŞ Kafkas gazı temininde öncelikli olacak | [62731] 2025-03-21 Nevşehir’in 2 ilçesine doğalgaz geliyor
49,C_external,2025-06-12,2025-06-26,ABD-İsrail-İran savaşı,57.3,63.6,71.1,11.0,4.4,0.08,361,[63794] 2025-06-23 Petrol 78 doları aştı | [63790] 2025-06-22 İran Meclisi'nden Hürmüz Boğazı kararı | [63723] 2025-06-17 Petrolde fiyat artışı sürüyor
50,B_pricemove,2025-07-01,2025-07-31,"MCP yükseliş, aylık +32%",56.0,74.0,72.7,32.1,-0.2,0.27,745,"[63879] 2025-06-30 Küresel enerji emisyonlarında rekor artış | [63869] 2025-06-28 Son 6 aylık YEKDEM maliyet öngörüsü 307,17 lira | [63760] 2025-06-19 Elektrik borsasına esnek tavan önerisi"
51,B_pricemove,2026-02-01,2026-05-31,"MCP düşüş, aylık -29%/-23%/-44%/-37%",67.3,29.2,27.0,-56.7,-4.3,0.04,2881,"[67710] 2026-04-08 Tavan çıktı, spot fiyat yükseldi | [68154] 2026-05-12 Yarın gündüz saatlerinde spot elektrik fiyatı sıfır TL | [67731] 2026-04-09 JES’ler için YEKDEM sonrası tavan fiyat talebi"
52,A_cap,2026-04-04,,AFL tavanı +32% → 4500 TL,34.2,27.8,19.1,-18.9,1.4,0.08,25,"[67633] 2026-04-02 Elektrik borsasında piyasa takas fiyatı tavanı yükseltildi | [67710] 2026-04-08 Tavan çıktı, spot fiyat yükseldi | [67399] 2026-03-16 Hırvatistan ve Macaristan'dan yakıtta tavan fiyat"
53,A_tariff,2026-04-04,,BOTAŞ elektrik gaz tarifesi +20% → 18000 TL/1000m³,34.2,27.8,19.1,-18.9,1.4,0.08,25,[67654] 2026-04-03 Doğalgaz ve elektrik zamlandı | [67671] 2026-04-05 Tuz Gölü ve Silivri depolama ücretleri arttı | [67556] 2026-03-27 Motorine zam kesinleşti
54,B_pricemove,2026-06-01,2026-07-31,"MCP yükseliş, aylık +106%/+114%",13.4,42.5,61.1,216.9,0.9,0.01,1465,[68154] 2026-05-12 Yarın gündüz saatlerinde spot elektrik fiyatı sıfır TL | [68553] 2026-06-17 HESİAD yeni katılımlarla büyüyor | [68399] 2026-06-05 Spot elektrik fiyatlarında düşüş
